animalID,cond,mfrON,mfrSUS
BTK4,async,0.7588796728604124,0.06819783009901143
BTK4,sync,1.1727854105546682,0.26071139983579694
BTM2,async,0.7395623153401023,0.1524704449275491
BTM2,sync,0.8145390298723405,0.39233515589865275
BTM3,async,0.8886034774081647,0.1423231687675597
BTM3,sync,1.0221860386148198,0.5256482870804138
BTN4,async,0.47090879420802906,0.12675030519367655
BTN4,sync,0.6145191590956055,0.3785499272455521
BTR5,async,0.6132996477375607,0.2202906407912268
BTR5,sync,0.6624902485998688,0.2982325205822897
